,Média | DE+LEMKE,Média | DE+DE,MIN Literature,,,Desvio | DE+LEMKE,Desvio | DE+DE
Pr1,225.00,224.96094,225.00,,,1.00400000000016,1.03905999999998
Pr2,-3.25,-3.25184212765957,-3.25,,,1.00001,1.00184212765957
Pr3,0.40,0.7916491464,0.00,,,1.3998036,1.7916491464
Pr4,17.96,17.263566,17.00,,,1.959988,1.263566
Pr5,-12.68,-12.690246,-12.68,,,1.00047799999999,1.011546
Pr6,-1.21,-1.2105146,-1.21,,,1.00012,1.0005146
Pr7,1.00,1,1.00,,,1,1
Pr8,5.00,4.9923738,5.00,,,1,1.0076262
Pr9,-29.20,-29.204852,-29.20,,,1.00219999999997,1.00485199999999
Pr10,-16.29,-16.349988,-18.40,,,3.11035199999999,3.05001199999999
Pr11,14.99,14.9865,14.99,,,1.0013,1.0035
Pr12,-454.38,-453.90652,-466.83,,,13.4504399999999,13.9204799999999
Pr13,-6600.01,-6599.7336,-6600.00,,,1.01000000000477,1.26640000000043
Pr14,0.60,0.695327951777874,0.00,,,1.5999868,1.69532795177787
Pr15,0.00,4.35432927E-08,0.00,,,1.000175393,1.00000004354329
Pr16,-3.89,-3.8916348,-3.92,,,1.031312,1.0283652
Pr17,0.85,0.7417593,0.85,,,1.000005,1.1067407
Pr18,1.56,1.5606132,1.56,,,1.00005,1.0022868
