Pr.	Chamadas Falhas (%)	Soluções/OP Pivo	% Acerto (LEMKE)	Avaliações UP (LEMKE)	% Acerto (DE)	Avaliações UP (DE)
SMDquad1[10]	0.00	646.72	100.00	487.98	100.00	478.56
SMDquad1[20]	0.00	841.34	100.00	951.66	100.00	945.46
SMDquad1[30]	0.00	880.91	100.00	1413.06	100.00	1407.10
SMDquad2[10]	0.01	573.59	100.00	457.60	100.00	451.52
SMDquad2[20]	0.02	754.17	100.00	925.00	100.00	975.22
SMDquad2[30]	0.01	813.69	100.00	1413.50	100.00	1348.10
SMDquad3[10]	0.00	666.42	100.00	468.66	100.00	474.52
SMDquad3[20]	0.00	867.06	100.00	976.32	100.00	979.64
SMDquad3[30]	0.00	902.42	100.00	1464.14	100.00	1501.48
SMDquad4[10]	0.00	462.53	100.00	494.74	100.00	492.64
SMDquad4[20]	0.00	632.70	100.00	986.42	100.00	1004.18
SMDquad4[30]	0.00	698.58	100.00	1507.78	100.00	1508.82
SMDquad5[10]	0.00	283.94	100.00	550.50	100.00	538.94
SMDquad5[20]	0.00	373.68	100.00	1080.84	100.00	1091.88
SMDquad5[30]	0.00	396.24	100.00	1638.28	100.00	1581.88
SMD6[10]	0.00	403.61	100.00	553.76	0.00	8061.38
SMD6[20]	0.00	647.57	100.00	1082.92	0.00	5962.06
SMD6[30]	0.00	846.38	100.00	1564.38	0.00	8654.14
Cquad1[10]	0.00	90.82	8.00	3160.96	4.00	5577.46
Cquad1[20]	0.00	212.67	0.00	5474.88	0.00	6485.76
Cquad1[30]	0.00	299.01	0.00	7896.48	0.00	6022.94
Cquad2[10]	0.00	213.10	100.00	933.66	100.00	831.06
Cquad2[20]	0.00	269.99	100.00	2088.06	100.00	1999.22
Cquad2[30]	0.00	291.98	100.00	2870.94	100.00	2688.96
Cquad3[10]	0.00	249.10	50.00	2563.76	70.00	2235.96
Cquad3[20]	0.00	349.19	22.00	6240.06	12.00	6338.49
Cquad3[30]	0.00	391.32	8.00	9358.58	6.00	7298.18
Cquad4[10]	1.73	600.05	90.00	2182.78	98.00	1808.84
Cquad4[20]	1.13	530.16	80.00	4595.62	90.00	3698.98
Cquad4[30]	1.00	530.21	80.00	5591.60	68.00	5781.16
