Problema	Dimensão	Restrições	Restrições Bound	Dimensão	Restrições	Restrições Bound	MAX	MÉDIA	MIN	Desvio Padrão
Pr1	2	3	3	2	0	4	4	3	1	0.08
Pr2	2	0	0	2	3	7	7	4.22	1	0.42
Pr3	2	1	1	2	2	10	6	2.88	2	0.59
Pr4	1	0	0	1	3	5	3	2.07	1	0.28
Pr5	2	1	1	2	2	6	7	3.04	3	0.3
Pr6	1	0	0	2	4	7	5	4.08	3	0.29
Pr7	1	0	0	1	0	2	1	1	1	0
Pr8	1	0	0	1	3	6	3	2	1	0.09
Pr9	2	0	2	3	3	6	5	4.11	2	0.36
Pr10	2	1	3	3	3	6	5	4.19	2	0.4
Pr11	4	6	10	2	4	6	7	2.33	2.33	2.33
Pr12	10	2	22	6	7	19	40	19.76	3	2.11
Pr13	4	1	9	4	4	12	13	8.69	4	1.11
Pr14	2	1	5	2	2	6	8	3.45	2	0.8
Pr15	1	0	1	2	4	6	6	4.2	2	0.63
Pr16	2	0	0	2	2	4	6	1.32	1	0.49
Pr17	1	0	0	2	2	5	4	3.98	1	0.13
Pr18	1	0	0	2	2	5	5	3.11	1	0.32
Pr19	2	0	4	2	1	5	4	2.01	2	0.15
